from_id,from_label,relationship,to_id,to_label,from_number,to_number
section_1,Section,IS_NEXT_TO,section_2,Section,1,2
section_2,Section,IS_NEXT_TO,section_3,Section,2,3
section_3,Section,IS_NEXT_TO,section_4,Section,3,4
section_4,Section,IS_NEXT_TO,section_5,Section,4,5
section_5,Section,IS_NEXT_TO,section_6,Section,5,6
section_6,Section,IS_NEXT_TO,section_7,Section,6,7
section_3_1,Section,IS_NEXT_TO,section_3_2,Section,3.1,3.2
section_3_2,Section,IS_NEXT_TO,section_3_3,Section,3.2,3.3
section_3_3,Section,IS_NEXT_TO,section_3_4,Section,3.3,3.4
section_3_4,Section,IS_NEXT_TO,section_3_5,Section,3.4,3.5
section_3_2_1,Section,IS_NEXT_TO,section_3_2_2,Section,3.2.1,3.2.2
section_3_2_2,Section,IS_NEXT_TO,section_3_2_3,Section,3.2.2,3.2.3
section_5_1,Section,IS_NEXT_TO,section_5_2,Section,5.1,5.2
section_5_2,Section,IS_NEXT_TO,section_5_3,Section,5.2,5.3
section_5_3,Section,IS_NEXT_TO,section_5_4,Section,5.3,5.4
section_6_1,Section,IS_NEXT_TO,section_6_2,Section,6.1,6.2
section_6_2,Section,IS_NEXT_TO,section_6_3,Section,6.2,6.3
